company,email,name,role,category,notes
Saie,community@saiehello.com,PR Team,PR / Partnerships,Beauty,Influencer/community inbox. PR: desiree@saiehello.com | Domain: saiehello.com
Rhode,hello@rhodeskin.com,PR Team,PR / Partnerships,Beauty,General brand inbox | Domain: rhodeskin.com
Merit,press@meritbeauty.com,PR Team,PR / Partnerships,Beauty,Alt influencer: community@meritbeauty.com | Domain: meritbeauty.com
Tower 28,press@tower28beauty.com,PR Team,PR / Partnerships,Beauty,Alt: partnerships@tower28beauty.com | Domain: tower28beauty.com
Kosas,letschat@kosas.com,PR Team,PR / Partnerships,Beauty,General brand inbox | Domain: kosas.com
Makeup by Mario,press@makeupbymario.com,PR Team,PR / Partnerships,Beauty,Brand press inbox | Domain: makeupbymario.com
Patrick Ta,press@patrickta.com,PR Team,PR / Partnerships,Beauty,Verify on site before send | Domain: patrickta.com
Refy,press@refybeauty.com,PR Team,PR / Partnerships,Beauty,Verify on site before send | Domain: refybeauty.com
Summer Fridays,influencers@summerfridays.com,PR Team,PR / Partnerships,Beauty,Influencer partnerships | Domain: summerfridays.com
Rare Beauty,hello@rarebeauty.com,PR Team,PR / Partnerships,Beauty,General brand inbox | Domain: rarebeauty.com
ONE/SIZE,influencer@onesizebeauty.com,PR Team,PR / Partnerships,Beauty,Alt: inquiriespress@onesizebeauty.com | Domain: onesizebeauty.com
Lawless,press@lawlessbeauty.com,PR Team,PR / Partnerships,Beauty,Clean beauty press | Domain: lawlessbeauty.com
Haus Labs,press@hauslabs.com,PR Team,PR / Partnerships,Beauty,Public press inbox | Domain: hauslabs.com
Glossier,press@glossier.com,PR Team,PR / Partnerships,Beauty,Alt: brand@glossier.com | Domain: glossier.com
Charlotte Tilbury,Influencer@charlottetilbury.com,PR Team,PR / Partnerships,Beauty,Press: pressoffice@charlottetilbury.com | Domain: charlottetilbury.com
Tarte,swapna@tarte.com,PR Team,PR / Partnerships,Beauty,From Tarte site team listing; verify before send | Domain: tartecosmetics.com
Too Faced,press@toofaced.com,PR Team,PR / Partnerships,Beauty,Estee Lauder brand press | Domain: toofaced.com
Benefit,press@benefitcosmetics.com,PR Team,PR / Partnerships,Beauty,LVMH beauty press | Domain: benefitcosmetics.com
Laura Mercier,contact_us@lauramercier.com,PR Team,PR / Partnerships,Beauty,Domain: lauramercier.com
Milk Makeup,hello@milkmakeup.com,PR Team,PR / Partnerships,Beauty,General brand inbox | Domain: milkmakeup.com
Nudestix,hello@nudestix.com,PR Team,PR / Partnerships,Beauty,General brand inbox | Domain: nudestix.com
ILIA,press@iliabeauty.com,PR Team,PR / Partnerships,Beauty,Clean beauty press | Domain: iliabeauty.com
Dr. Dennis Gross,,,,Beauty,No email found. Domain: drdennisgross.com. Try LinkedIn or press page manually.
Skinfix,press@skinfix.com,PR Team,PR / Partnerships,Beauty,Alt: info@skinfix.com | Domain: skinfix.com
Farmacy,press@farmacybeauty.com,PR Team,PR / Partnerships,Beauty,Brand press inbox | Domain: farmacybeauty.com
First Aid Beauty,press@firstaidbeauty.com,PR Team,PR / Partnerships,Beauty,Procter & Gamble brand press | Domain: firstaidbeauty.com
Peach & Lily,press@peachandlily.com,PR Team,PR / Partnerships,Beauty,K-beauty press | Domain: peachandlily.com
Glow Recipe,press@glowrecipe.com,PR Team,PR / Partnerships,Beauty,Brand press inbox | Domain: glowrecipe.com
Laneige,press@us.laneige.com,PR Team,PR / Partnerships,Beauty,Amorepacific US press | Domain: laneige.com
Sunday Riley,press@sundayriley.com,PR Team,PR / Partnerships,Beauty,Alt: partnerships@sundayriley.com | Domain: sundayriley.com
